id,station_name,ev_network,city,state,zip,street_address,latitude,longitude,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_pricing,access_days_time,access_code,date_last_confirmed,updated_at,open_date,geocode_status
417197,EDU LINDA VISTA A11 A12,ChargePoint Network,San Diego,CA,92111,6401 Linda Vista Road,32.771436,-117.179803,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T02:42:12Z,2025-07-29,GPS
323134,SOCIETY RUBY RUBY 4,ChargePoint Network,San Diego,CA,92108,101 River Pk Dr,32.764352,-117.166855,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T02:34:21Z,2023-12-21,GPS
323123,SOCIETY RUBY RUBY 1,ChargePoint Network,San Diego,CA,92108,101 River Pk Dr,32.76431,-117.166809,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T02:25:52Z,2023-12-21,GPS
323122,SOCIETY RUBY RUBY 2,ChargePoint Network,San Diego,CA,92108,101 River Pk Dr,32.764333,-117.166929,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T02:25:51Z,2023-12-21,GPS
270350,SDCOE LINDAVIST MAIN CAMPUS 1,ChargePoint Network,San Diego,CA,92111,6401 Linda Vista Rd.,32.771059,-117.179571,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T01:11:42Z,2023-06-22,GPS
270528,SDCOE LINDAVIST MAIN CAMPUS 2,ChargePoint Network,San Diego,CA,92111,6401 Linda Vista Rd,32.771062,-117.17963,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T01:11:50Z,2023-06-22,GPS
270349,SDCOE LINDAVIST MAIN CAMPUS 3,ChargePoint Network,San Diego,CA,92111,6401 Linda Vista Rd,32.771065,-117.179684,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T01:11:42Z,2023-06-22,GPS
323121,SOCIETY RUBY RUBY 3,ChargePoint Network,San Diego,CA,92108,101 River Pk Dr,32.764363,-117.16737,J1772,,,1.0,,24 hours daily,public,2025-11-08,2025-11-08T02:25:51Z,2023-12-21,GPS
159142,ESSEX CENTERPOINTE,ChargePoint Network,San Diego,CA,92108,6540 Friars Rd,32.767942,-117.176199,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T01:21:32Z,2020-06-12,GPS
227517,SOCIETY MARGO5,ChargePoint Network,San Diego,CA,92108,201 Del Sol Dr,32.763001,-117.166825,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T02:06:26Z,2022-09-14,GPS
398906,Beam Global HQ,LOOP,San Diego,CA,92121,5660 Eastgate Dr,32.8833608,-117.1979949,J1772,,,2.0,$15 monthly service fee,24 hours daily,public,2025-07-03,2025-07-03T19:15:09Z,2024-09-04,GPS
