id,station_name,ev_network,city,state,zip,street_address,latitude,longitude,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_pricing,access_days_time,access_code,date_last_confirmed,updated_at,open_date,geocode_status,capacity_proxy
231753,G&M OIL CHEVRON #161,ChargePoint Network,San Diego,CA,92117,7070 Clairemont Mesa Blvd,32.83316,-117.164496,"CHADEMO,J1772COMBO",1.0,,,,24 hours daily,public,2025-11-08,2025-11-08T02:14:54Z,2022-10-04,GPS,1.0
95536,Hazard Center,Blink Network,San Diego,CA,92108,7510 Hazard Center Drive,32.770343,-117.159027,J1772,,,3.0,Free,24 hours daily,public,2025-11-08,2025-11-08T00:39:06Z,2013-02-15,GPS,0.75
77858,International Brotherhood of Electrical Workers 569,Non-Networked,San Diego,CA,92123,4545 Viewridge Ave,32.822918,-117.124015,J1772,,,3.0,Free,8am-8:30pm M-F; Employee and visitor use only; 2 hour limit,public,2024-05-09,2025-02-12T00:16:32Z,2016-08-01,200-9,0.75
374064,Viewridge MOB - CA205-1,Blink Network,San Diego,CA,92123,5251 Viewridge Court,32.830039,-117.121603,J1772,,,3.0,,24 hours daily,public,2025-11-08,2025-11-08T00:26:04Z,2016-03-17,GPS,0.75
397764,UNIV OF SD MANCH 04,ChargePoint Network,San Diego,CA,92111,1720 Via Las Cumbres,32.776056,-117.182246,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T03:09:17Z,2025-06-05,GPS,0.5
270528,SDCOE LINDAVIST MAIN CAMPUS 2,ChargePoint Network,San Diego,CA,92111,6401 Linda Vista Rd,32.771062,-117.17963,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T01:11:50Z,2023-06-22,GPS,0.5
331731,EDU LINDA VISTA A01 A02,ChargePoint Network,San Diego,CA,92111,6455 Linda Vista Rd,32.771354,-117.179433,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T02:12:34Z,2024-04-05,GPS,0.5
331737,EDU LINDA VISTA A03 A04,ChargePoint Network,San Diego,CA,92111,6455 Linda Vista Rd,32.771341,-117.179517,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T02:28:46Z,2024-04-05,GPS,0.5
331736,EDU LINDA VISTA A5 A6,ChargePoint Network,San Diego,CA,92111,6455 Linda Vista Rd,32.771357,-117.179569,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T02:28:46Z,2024-04-05,GPS,0.5
417197,EDU LINDA VISTA A11 A12,ChargePoint Network,San Diego,CA,92111,6401 Linda Vista Road,32.771436,-117.179803,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T02:42:12Z,2025-07-29,GPS,0.5
323134,SOCIETY RUBY RUBY 4,ChargePoint Network,San Diego,CA,92108,101 River Pk Dr,32.764352,-117.166855,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T02:34:21Z,2023-12-21,GPS,0.5
323123,SOCIETY RUBY RUBY 1,ChargePoint Network,San Diego,CA,92108,101 River Pk Dr,32.76431,-117.166809,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T02:25:52Z,2023-12-21,GPS,0.5
323122,SOCIETY RUBY RUBY 2,ChargePoint Network,San Diego,CA,92108,101 River Pk Dr,32.764333,-117.166929,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T02:25:51Z,2023-12-21,GPS,0.5
159356,CSG EV SDSU PARKING 14,ChargePoint Network,San Diego,CA,92115,5625 Aztec Circle Dr,32.778065,-117.07404,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T01:17:13Z,2020-06-12,GPS,0.5
350059,IRVINE  CO  OFC CRTP 9450 04,ChargePoint Network,San Diego,CA,92121,9450 Carroll Park Dr,32.88666,-117.17335,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T02:47:03Z,2024-07-07,GPS,0.5
350060,IRVINE  CO  OFC CRTP 9450 05,ChargePoint Network,San Diego,CA,92121,9450 Carroll Park Dr,32.886685,-117.173312,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T02:47:03Z,2024-07-07,GPS,0.5
270350,SDCOE LINDAVIST MAIN CAMPUS 1,ChargePoint Network,San Diego,CA,92111,6401 Linda Vista Rd.,32.771059,-117.179571,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T01:11:42Z,2023-06-22,GPS,0.5
350061,IRVINE  CO  OFC CRTP 9450 06,ChargePoint Network,San Diego,CA,92121,9450 Carroll Park Dr,32.886712,-117.173266,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T02:47:03Z,2024-07-07,GPS,0.5
175752,CSG EV SDSU P12 UPPER,ChargePoint Network,San Diego,CA,92182,5600 Canyon Crest Dr,32.775158,-117.074797,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T01:33:08Z,2021-01-27,GPS,0.5
270349,SDCOE LINDAVIST MAIN CAMPUS 3,ChargePoint Network,San Diego,CA,92111,6401 Linda Vista Rd,32.771065,-117.179684,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T01:11:42Z,2023-06-22,GPS,0.5
373932,HGFMV 7420 MVR,ChargePoint Network,San Diego,CA,92108,7420 Mission Valley Rd,32.777168,-117.161153,J1772,,,2.0,,Mon: 5:00am-5:00pm; Tue: 5:00am-5:00pm; Wed: 5:00am-5:00pm; Thu: 5:00am-5:00pm; Fri: 5:00am-5:00pm,public,2025-11-08,2025-11-08T02:50:15Z,2024-12-17,GPS,0.5
159142,ESSEX CENTERPOINTE,ChargePoint Network,San Diego,CA,92108,6540 Friars Rd,32.767942,-117.176199,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T01:21:32Z,2020-06-12,GPS,0.5
160539,SHS MISSION VAL STATION 1,ChargePoint Network,San Diego,CA,92108,2401 Camino Del Rio N,32.771726,-117.137797,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T00:59:08Z,2020-06-12,GPS,0.5
