Station Name,Street Address,City,State,ZIP,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,EV Connector Types,Access Code,Facility Type,Total_Chargers,Has_Level1,Has_Level2,Has_DC_Fast,ZIP_int,zip_code_int,county_name,electricity_rate_per_kwh,rate_tier
LADWP - Truesdale Center,11797 Truesdale St,Sun Valley,CA,91352,0.0,57.0,2.0,SHELL_RECHARGE,CHADEMO J1772 J1772COMBO,private,UTILITY,59.0,False,True,True,91352,91352,Los Angeles,0.3,Low
Los Angeles Convention Center,1201 S Figueroa St,Los Angeles,CA,90015,0.0,7.0,0.0,Non-Networked,J1772,public,PARKING_GARAGE,7.0,False,True,False,90015,90015,Los Angeles,0.3,Low
LADWP - John Ferraro Building,111 N Hope St,Los Angeles,CA,90012,0.0,338.0,12.0,Non-Networked,CHADEMO J1772 J1772COMBO,private,UTILITY,350.0,False,True,True,90012,90012,Los Angeles,0.3,Low
LADWP - Haynes Power Plant,6801 E 2nd St,Long Beach,CA,90803,0.0,19.0,1.0,Non-Networked,CHADEMO J1772 J1772COMBO,private,UTILITY,20.0,False,True,True,90803,,Los Angeles,0.3,Low
LADWP - Harbor Generating Station,161 N Island Ave,Wilmington,CA,90744,0.0,10.0,0.0,Non-Networked,J1772,private,UTILITY,10.0,False,True,False,90744,,Los Angeles,0.3,Low
LADWP - Sylmar West,13201 Sepulveda Blvd,Sylmar,CA,91342,0.0,2.0,0.0,Non-Networked,J1772,private,UTILITY,2.0,False,True,False,91342,91342,Los Angeles,0.3,Low
LADWP - EV Service Center,1630 N Main St,Los Angeles,CA,90012,0.0,46.0,1.0,Non-Networked,CHADEMO J1772,private,UTILITY,47.0,False,True,True,90012,90012,Los Angeles,0.3,Low
LADWP - Fairfax Center,2311 S Fairfax Ave,Los Angeles,CA,90016,0.0,13.0,0.0,Non-Networked,J1772,private,UTILITY,13.0,False,True,False,90016,90016,Los Angeles,0.3,Low
California Air Resources Board,9530 Telstar Ave,El Monte,CA,91731,0.0,3.0,0.0,Non-Networked,J1772,public,STATE_GOV,3.0,False,True,False,91731,,Los Angeles,0.3,Low
LADWP - Palmetto Center,1212 Palmetto St,Los Angeles,CA,90013,0.0,27.0,0.0,Non-Networked,J1772,private,UTILITY,27.0,False,True,False,90013,90013,Los Angeles,0.3,Low
Scripps Green Hospital,10666 N Torrey Pines Rd,La Jolla,CA,92037,0.0,1.0,0.0,Non-Networked,J1772,public,HOSPITAL,1.0,False,True,False,92037,92037,San Diego,0.4597,High
Galpin Motors,15421 Roscoe Blvd,Sepulveda,CA,91343,0.0,2.0,0.0,Non-Networked,J1772,public,CAR_DEALER,2.0,False,True,False,91343,91343,Los Angeles,0.3,Low
Galleria at Tyler,1299 Galleria at Tyler,Riverside,CA,92503,0.0,4.0,0.0,Non-Networked,J1772,public,SHOPPING_MALL,4.0,False,True,False,92503,,Orange,0.3869,Medium
City of Pasadena - Holly Street Garage,150 E Holly St,Pasadena,CA,91103,0.0,16.0,0.0,Non-Networked,J1772,public,PARKING_GARAGE,16.0,False,True,False,91103,91103,Los Angeles,0.3,Low
City of Pasadena - De Lacey Garage,45 De Lacey Ave,Pasadena,CA,91105,0.0,2.0,0.0,Non-Networked,J1772,public,PARKING_GARAGE,2.0,False,True,False,91105,91105,Los Angeles,0.3,Low
City of Pasadena - Schoolhouse Garage,33 E Green St,Pasadena,CA,91105,0.0,3.0,0.0,Non-Networked,J1772,public,PARKING_GARAGE,3.0,False,True,False,91105,91105,Los Angeles,0.3,Low
Bristol Farms,606 Fair Oaks Ave,South Pasadena,CA,91030,0.0,0.0,0.0,Non-Networked,,public,GROCERY,0.0,False,False,False,91030,,Los Angeles,0.3,Low
Hyatt Regency Long Beach,200 S Pine Ave,Long Beach,CA,90802,0.0,1.0,0.0,Non-Networked,J1772,public,HOTEL,1.0,False,True,False,90802,,Los Angeles,0.3,Low
Los Angeles International Airport (LAX) - Lot 6,1 World Way,Los Angeles,CA,90045,0.0,20.0,0.0,Non-Networked,J1772,public,AIRPORT,20.0,False,True,False,90045,90045,Los Angeles,0.3,Low
Northridge Fashion Center East Garage Lower Level,9301 Tampa Ave,Northridge,CA,91324,0.0,5.0,0.0,Volta,J1772,public,,5.0,False,True,False,91324,91324,Los Angeles,0.3,Low
Ontario Airport Hotel and Conference Center,700 N Haven Ave,Ontario,CA,91764,0.0,1.0,0.0,Non-Networked,J1772,public,HOTEL,1.0,False,True,False,91764,,Los Angeles,0.3,Low
Courtyard Marriott - Oxnard Ventura,600 E Esplanade Dr,Oxnard,CA,93030,0.0,1.0,0.0,Non-Networked,J1772,public,HOTEL,1.0,False,True,False,93030,,Los Angeles,0.3,Low
Hilton - Palm Springs,400 E Tahquitz Canyon Way,Palm Springs,CA,92262,0.0,2.0,0.0,Non-Networked,J1772,public,HOTEL,2.0,False,True,False,92262,92262,Riverside,0.3869,Medium
Inland Empire Foods,5425 Wilson St,Riverside,CA,92509,0.0,3.0,0.0,Non-Networked,J1772,public,OFFICE_BLDG,3.0,False,True,False,92509,,Orange,0.3869,Medium
Sacramento International Airport - Daily A Lot,Lindbergh Dr,Sacramento,CA,95837,0.0,4.0,0.0,Non-Networked,J1772,public,AIRPORT,4.0,False,True,False,95837,,Sacramento,0.3869,Medium
City of Santa Monica - Airport,3223 Donald Douglas Loop,Santa Monica,CA,90405,0.0,2.0,0.0,Non-Networked,J1772,public,AIRPORT,2.0,False,True,False,90405,,Los Angeles,0.3,Low
City of Santa Monica - Pier,200 Santa Monica Pier,Santa Monica,CA,90405,0.0,3.0,0.0,Non-Networked,J1772,public,MUNI_GOV,3.0,False,True,False,90405,,Los Angeles,0.3,Low
Westfield Parking Garage 1st Floor,14006 Riverside Dr,Sherman Oaks,CA,91423,0.0,2.0,0.0,Volta,J1772,public,,2.0,False,True,False,91423,91423,Los Angeles,0.3,Low
Universal City Hilton,333 Universal Terrace Pkwy,Universal City,CA,91608,1.0,0.0,0.0,Non-Networked,NEMA520,public,HOTEL,1.0,True,False,False,91608,,Los Angeles,0.3,Low
Office Max - Home Depot,7075 Firestone Blvd,Downey,CA,90241,0.0,4.0,0.0,Non-Networked,J1772,public,SHOPPING_CENTER,4.0,False,True,False,90241,,Los Angeles,0.3,Low
Hyatt at Fisherman's Wharf,555 N Point St,San Francisco,CA,94133,0.0,1.0,0.0,Non-Networked,J1772,public,HOTEL,1.0,False,True,False,94133,,San Francisco,0.4597,High
Arden Fair Mall,1689 Arden Way,Sacramento,CA,95815,0.0,4.0,0.0,Non-Networked,J1772,public,SHOPPING_MALL,4.0,False,True,False,95815,,Sacramento,0.3869,Medium
Japan Center Garage,1610 Geary Blvd,San Francisco,CA,94115,0.0,0.0,0.0,Non-Networked,,public,PARKING_GARAGE,0.0,False,False,False,94115,,San Francisco,0.4597,High
Palace Hotel,2 New Montgomery St,San Francisco,CA,94105,0.0,2.0,0.0,Non-Networked,J1772,public,HOTEL,2.0,False,True,False,94105,,San Francisco,0.4597,High
Mark Hopkins InterContinental Hotel,999 California St,San Francisco,CA,94108,0.0,1.0,0.0,Non-Networked,J1772,public,HOTEL,1.0,False,True,False,94108,,San Francisco,0.4597,High
California State University - Northridge,18111 Nordhoff St,Northridge,CA,91330,0.0,2.0,0.0,Non-Networked,J1772,public,COLLEGE_CAMPUS,2.0,False,True,False,91330,91330,Los Angeles,0.3,Low
California State University - Northridge,18111 Nordhoff St,Northridge,CA,91330,0.0,2.0,0.0,Non-Networked,J1772,public,COLLEGE_CAMPUS,2.0,False,True,False,91330,91330,Los Angeles,0.3,Low
California State University - Northridge,18111 Nordhoff St,Northridge,CA,91330,0.0,4.0,0.0,Non-Networked,J1772,public,COLLEGE_CAMPUS,4.0,False,True,False,91330,91330,Los Angeles,0.3,Low
Los Angeles Harbor Department Headquarters,425 S Palos Verdes St,San Pedro,CA,90731,0.0,4.0,0.0,Non-Networked,J1772,public,PARKING_LOT,4.0,False,True,False,90731,,Los Angeles,0.3,Low
Sylmar Station,Village Way Dr,San Fernando,CA,91342,0.0,4.0,0.0,EV Connect,J1772,public,,4.0,False,True,False,91342,91342,Los Angeles,0.3,Low
Getty Center,1200 Getty Center Dr,Los Angeles,CA,90049,12.0,15.0,0.0,Non-Networked,J1772 NEMA520,public,PARKING_GARAGE,27.0,True,True,False,90049,90049,Los Angeles,0.3,Low
LA County DPR Arboretum,301 N Baldwin Ave,Arcadia,CA,91007,0.0,3.0,0.0,POWERFLEX,J1772,public,PARK,3.0,False,True,False,91007,91007,Los Angeles,0.3,Low
City of Glendora - City Hall,114 S Vista Bonita Ave,Glendora,CA,91741,0.0,3.0,0.0,Non-Networked,J1772,public,MUNI_GOV,3.0,False,True,False,91741,,Los Angeles,0.3,Low
DoubleTree Hotel - Los Angeles - Westside,6161 Centinela Ave,Culver City,CA,90230,0.0,2.0,0.0,Non-Networked,J1772,public,HOTEL,2.0,False,True,False,90230,,Los Angeles,0.3,Low
Helms Bakery Building,8800 Venice Blvd,Los Angeles,CA,90034,0.0,6.0,0.0,Non-Networked,J1772,public,PARKING_GARAGE,6.0,False,True,False,90034,90034,Los Angeles,0.3,Low
Westfield MainPlace Mall,2800 N Main St,Santa Ana,CA,92705,0.0,6.0,0.0,Non-Networked,J1772,public,SHOPPING_MALL,6.0,False,True,False,92705,,Orange,0.3869,Medium
California State University - Channel Islands,1 University Dr,Camarillo,CA,93012,0.0,5.0,0.0,Non-Networked,J1772,public,COLLEGE_CAMPUS,5.0,False,True,False,93012,,Los Angeles,0.3,Low
Brea Downtown Parking,101 S Brea Blvd,Brea,CA,92821,0.0,4.0,0.0,Non-Networked,J1772,public,PARKING_GARAGE,4.0,False,True,False,92821,,Orange,0.3869,Medium
Home Depot,2745 Teller Rd,Newbury Park,CA,91320,4.0,2.0,0.0,Non-Networked,J1772 NEMA515,public,SHOPPING_CENTER,6.0,True,True,False,91320,,Los Angeles,0.3,Low
Lake Casitas Municipal Water District - Recreational Area,Casitas Pass Rd & Baldwin Rd,Oak View,CA,93022,0.0,1.0,0.0,Non-Networked,J1772,public,PARK,1.0,False,True,False,93022,,Los Angeles,0.3,Low
San Dimas Park & Ride,205 S San Dimas Ave,San Dimas,CA,91773,0.0,2.0,0.0,Non-Networked,J1772,public,PARKING_LOT,2.0,False,True,False,91773,,Los Angeles,0.3,Low
City of Pasadena - El Molino Lot,100 N El Molino Ave,Pasadena,CA,91101,0.0,4.0,0.0,Non-Networked,J1772,public,PARKING_LOT,4.0,False,True,False,91101,91101,Los Angeles,0.3,Low
Ventura County Government Center,800 S Victoria Ave,Ventura,CA,93009,0.0,3.0,0.0,Non-Networked,J1772,public,MUNI_GOV,3.0,False,True,False,93009,,Los Angeles,0.3,Low
Ventura County Air Pollution Control District,669 County Square Dr,Ventura,CA,93003,0.0,3.0,0.0,Non-Networked,J1772,public,MUNI_GOV,3.0,False,True,False,93003,,Los Angeles,0.3,Low
Pacific View Mall,3295 E Main St,Ventura,CA,93003,0.0,2.0,0.0,Non-Networked,J1772,public,SHOPPING_MALL,2.0,False,True,False,93003,,Los Angeles,0.3,Low
LADWP - Scattergood Generating Facility,12700 Vista del Mar,Playa del Rey,CA,90293,0.0,21.0,0.0,Non-Networked,J1772,private,UTILITY,21.0,False,True,False,90293,,Los Angeles,0.3,Low
LA County DPW Baldwin Park,14747 E Ramona Blvd,Baldwin Park,CA,91706,0.0,3.0,0.0,Non-Networked,J1772,private,FLEET_GARAGE,3.0,False,True,False,91706,,Los Angeles,0.3,Low
LA County DPW Imperial,5525 E Imperial Hwy,South Gate,CA,90280,0.0,6.0,0.0,Non-Networked,J1772,private,MUNI_GOV,6.0,False,True,False,90280,,Los Angeles,0.3,Low
University of California - Davis Extension - Lot 80,1441 Research Park Dr,Davis,CA,95616,1.0,3.0,0.0,Non-Networked,J1772 NEMA520,public,COLLEGE_CAMPUS,4.0,True,True,False,95616,95616,Sacramento,0.3869,Medium
San Luis Obispo County Air Pollution Control District,3433 Roberto Ct,San Luis Obispo,CA,93401,1.0,1.0,0.0,Non-Networked,J1772 NEMA520,private,MUNI_GOV,2.0,True,True,False,93401,,Los Angeles,0.3,Low
LADWP - Wilmington District Yard,315 N Island Ave,Wilmington,CA,90744,0.0,8.0,0.0,Non-Networked,J1772,private,UTILITY,8.0,False,True,False,90744,,Los Angeles,0.3,Low
Fair Oaks - Orangevale - Community Library,11601 Fair Oaks Blvd,Fair Oaks,CA,95628,0.0,2.0,0.0,Non-Networked,J1772,public,PARKING_LOT,2.0,False,True,False,95628,95628,Sacramento,0.3869,Medium
Sutter Galleria Mall - University of California - Davis Extension,2901 K St,Sacramento,CA,95816,1.0,2.0,0.0,Non-Networked,J1772 NEMA520,public,COLLEGE_CAMPUS,3.0,True,True,False,95816,,Sacramento,0.3869,Medium
North Highlands Library,4235 Antelope Rd,Antelope,CA,95843,0.0,1.0,0.0,Non-Networked,J1772,public,LIBRARY,1.0,False,True,False,95843,,Sacramento,0.3869,Medium
Gateway Oaks Metro Center,2710 Gateway Oaks Dr,Sacramento,CA,95833,0.0,1.0,0.0,Non-Networked,J1772,private,OFFICE_BLDG,1.0,False,True,False,95833,,Sacramento,0.3869,Medium
University of California - Davis - Medical Center,4860 Y St,Sacramento,CA,95817,0.0,2.0,0.0,Non-Networked,J1772,public,HOSPITAL,2.0,False,True,False,95817,,Sacramento,0.3869,Medium
City of Sacramento - Belle Cooledge Library,5600 S Land Park Dr,Sacramento,CA,95822,0.0,2.0,0.0,Non-Networked,J1772,public,LIBRARY,2.0,False,True,False,95822,,Sacramento,0.3869,Medium
Mosquito Road Park and Ride,Mosquito Rd & Clay St,Placerville,CA,95667,0.0,2.0,0.0,Non-Networked,J1772,public,MUNI_GOV,2.0,False,True,False,95667,95667,Sacramento,0.3869,Medium
City of Vacaville - Cultural Center,1000 Ulatis Dr,Vacaville,CA,95687,0.0,1.0,0.0,Non-Networked,J1772,public,MUNI_GOV,1.0,False,True,False,95687,95687,Sacramento,0.3869,Medium
Stars Recreation Center,155 Browns Valley Pkwy,Vacaville,CA,95688,0.0,4.0,0.0,Non-Networked,J1772,public,REC_SPORTS_FACILITY,4.0,False,True,False,95688,95688,Sacramento,0.3869,Medium
City of Vacaville - Regional Transport Center,190 Hickory Ln,Vacaville,CA,95688,0.0,2.0,0.0,Non-Networked,J1772,public,TRAVEL_CENTER,2.0,False,True,False,95688,95688,Sacramento,0.3869,Medium
Office of Housing & Redevelopment,40 Eldridge Ave,Vacaville,CA,95688,0.0,2.0,0.0,Non-Networked,J1772,public,OFFICE_BLDG,2.0,False,True,False,95688,95688,Sacramento,0.3869,Medium
KUIC Radio - Parking Lot,500 Catherine St,Vacaville,CA,95688,0.0,1.0,0.0,Non-Networked,J1772,public,PARKING_LOT,1.0,False,True,False,95688,95688,Sacramento,0.3869,Medium
City of Vacaville - City Hall,650 Merchant St,Vacaville,CA,95688,0.0,7.0,0.0,Non-Networked,J1772,public,MUNI_GOV,7.0,False,True,False,95688,95688,Sacramento,0.3869,Medium
Citrus Heights City Hall,6360 Fountain Square Dr,Citrus Heights,CA,95621,0.0,4.0,0.0,Non-Networked,J1772,public,MUNI_GOV,4.0,False,True,False,95621,95621,Sacramento,0.3869,Medium
Pitt School Plaza,1440 Ary Ln,Dixon,CA,95620,1.0,0.0,0.0,Non-Networked,NEMA520,public,SHOPPING_CENTER,1.0,True,False,False,95620,95620,Sacramento,0.3869,Medium
El Dorado County Government Center,2850 Fairlane Ct,Placerville,CA,95667,0.0,3.0,0.0,Non-Networked,J1772,public,MUNI_GOV,3.0,False,True,False,95667,95667,Sacramento,0.3869,Medium
El Dorado Transit Park & Ride,4640 Post St,El Dorado Hills,CA,95762,0.0,2.0,0.0,Non-Networked,J1772,public,MUNI_GOV,2.0,False,True,False,95762,,Sacramento,0.3869,Medium
Elk Grove Kia,8480 Laguna Grove Dr,Elk Grove,CA,95758,0.0,1.0,0.0,Non-Networked,J1772,private,CAR_DEALER,1.0,False,True,False,95758,,Sacramento,0.3869,Medium
CVS Pharmacy,8455 Auburn-Folsom Rd,Granite Bay,CA,95746,0.0,1.0,0.0,Non-Networked,J1772,public,CONVENIENCE_STORE,1.0,False,True,False,95746,,Sacramento,0.3869,Medium
Carmichael Library,5605 Marconi Ave,Carmichael,CA,95608,0.0,1.0,0.0,Non-Networked,J1772,public,LIBRARY,1.0,False,True,False,95608,95608,Sacramento,0.3869,Medium
Rio Vista City Hall,1 Main St,Rio Vista,CA,94571,0.0,1.0,0.0,Non-Networked,J1772,public,MUNI_GOV,1.0,False,True,False,94571,,San Francisco,0.4597,High
Fairfield City Hall,1000 Webster St,Fairfield,CA,94533,0.0,2.0,0.0,Non-Networked,J1772,public,MUNI_GOV,2.0,False,True,False,94533,,San Francisco,0.4597,High
Solano Community College,4000 Suisun Valley Rd,Fairfield,CA,94534,0.0,3.0,0.0,Non-Networked,J1772,public,COLLEGE_CAMPUS,3.0,False,True,False,94534,,San Francisco,0.4597,High
Vallejo Ferry Terminal,495 Mare Island Way,Vallejo,CA,94590,0.0,0.0,0.0,Non-Networked,,public,TRAVEL_CENTER,0.0,False,False,False,94590,,San Francisco,0.4597,High
Los Angeles International Airport (LAX) - Lot 1,1 World Way,Los Angeles,CA,90045,0.0,20.0,0.0,Non-Networked,J1772,public,AIRPORT,20.0,False,True,False,90045,90045,Los Angeles,0.3,Low
City of Vacaville - Police Headquarters,660 Merchant St,Vacaville,CA,95688,0.0,1.0,0.0,Non-Networked,J1772,private,MUNI_GOV,1.0,False,True,False,95688,95688,Sacramento,0.3869,Medium
Southern California Edison - Sacramento Office,1201 K St,Sacramento,CA,95831,0.0,1.0,0.0,Non-Networked,J1772,private,UTILITY,1.0,False,True,False,95831,,Sacramento,0.3869,Medium
LADWP - Boylston,1141 W 2nd St,Los Angeles,CA,90026,0.0,17.0,0.0,Non-Networked,J1772,private,UTILITY,17.0,False,True,False,90026,90026,Los Angeles,0.3,Low
LADWP - Central District,1350 S Wall St,Los Angeles,CA,90015,0.0,19.0,0.0,Non-Networked,J1772,private,UTILITY,19.0,False,True,False,90015,90015,Los Angeles,0.3,Low
LADWP - Lincoln Heights District,3101 Artesian St,Los Angeles,CA,90031,0.0,79.0,0.0,Non-Networked,J1772,private,UTILITY,79.0,False,True,False,90031,90031,Los Angeles,0.3,Low
LADWP - Receiving Station C,900 E Lomita Blvd,Wilmington,CA,90744,0.0,2.0,0.0,Non-Networked,J1772,private,UTILITY,2.0,False,True,False,90744,,Los Angeles,0.3,Low
LADWP - Valley Center Admin Lot,14401 Saticoy St,Van Nuys,CA,91405,0.0,95.0,2.0,Non-Networked,CHADEMO J1772 J1772COMBO,private,UTILITY,97.0,False,True,True,91405,91405,Los Angeles,0.3,Low
LADWP - Valley Generating Station,11801 Sheldon St,Sun Valley,CA,91352,0.0,17.0,0.0,Non-Networked,J1772,private,UTILITY,17.0,False,True,False,91352,91352,Los Angeles,0.3,Low
City of Ukiah - Public Parking Lot,N Oak St & W Standley St,Ukiah,CA,95482,0.0,1.0,0.0,Non-Networked,J1772,public,PARKING_LOT,1.0,False,True,False,95482,,Sacramento,0.3869,Medium
Nut Tree Village,1651 E Monte Vista Ave,Vacaville,CA,95688,1.0,1.0,0.0,Non-Networked,J1772 NEMA515,public,SHOPPING_CENTER,2.0,True,True,False,95688,95688,Sacramento,0.3869,Medium
4th and G Plaza Public Parking Garage,817 4th St,Davis,CA,95616,0.0,2.0,0.0,Non-Networked,J1772,public,PARKING_GARAGE,2.0,False,True,False,95616,95616,Sacramento,0.3869,Medium
Davis Amtrak Station,840 2nd St,Davis,CA,95616,0.0,2.0,0.0,Non-Networked,J1772,public,PAY_LOT,2.0,False,True,False,95616,95616,Sacramento,0.3869,Medium
University of California - Davis - Quad Parking Structure,6 Howard Way,Davis,CA,95616,3.0,7.0,0.0,Non-Networked,J1772 NEMA520,public,COLLEGE_CAMPUS,10.0,True,True,False,95616,95616,Sacramento,0.3869,Medium
University Covenant Church,315 Mace Blvd,Davis,CA,95618,0.0,1.0,0.0,Non-Networked,J1772,public,PLACE_OF_WORSHIP,1.0,False,True,False,95618,95618,Sacramento,0.3869,Medium
Wildhorse Golf Club,2323 Rockwell Dr,Davis,CA,95618,0.0,2.0,0.0,Non-Networked,J1772,public,REC_SPORTS_FACILITY,2.0,False,True,False,95618,95618,Sacramento,0.3869,Medium
Lakewood Center Mall,4500 Silva St,Lakewood,CA,90712,0.0,2.0,0.0,Non-Networked,J1772,public,SHOPPING_MALL,2.0,False,True,False,90712,,Los Angeles,0.3,Low
Golden Gate Ferry Terminal,101 E Sir Francis Drake Blvd,Larkspur,CA,94939,0.0,1.0,0.0,Non-Networked,J1772,public,PARKING_LOT,1.0,False,True,False,94939,,San Francisco,0.4597,High
Oakland International Airport - Daily Lot,1 Airport Dr,Oakland,CA,94621,0.0,4.0,0.0,Non-Networked,J1772,public,AIRPORT,4.0,False,True,False,94621,,San Francisco,0.4597,High
Fairfield Transportation Center,2000 Cadenasso Dr,Fairfield,CA,94533,0.0,2.0,0.0,Non-Networked,J1772,public,TRAVEL_CENTER,2.0,False,True,False,94533,,San Francisco,0.4597,High
Home Depot,1551 Froom Ranch Way,San Luis Obispo,CA,93405,0.0,2.0,0.0,Non-Networked,J1772,public,SHOPPING_CENTER,2.0,False,True,False,93405,,Los Angeles,0.3,Low
San Luis Obispo Promenade - Bed Bath & Beyond,319 Madonna Rd,San Luis Obispo,CA,93401,0.0,4.0,0.0,Non-Networked,J1772,public,SHOPPING_CENTER,4.0,False,True,False,93401,,Los Angeles,0.3,Low
Toyota of Santa Monica,801 Santa Monica Blvd,Santa Monica,CA,90401,0.0,3.0,0.0,Non-Networked,J1772,public,CAR_DEALER,3.0,False,True,False,90401,,Los Angeles,0.3,Low
Beach & Hyde Garage,655 Beach St,San Francisco,CA,94109,0.0,5.0,0.0,Non-Networked,J1772,public,PAY_GARAGE,5.0,False,True,False,94109,,San Francisco,0.4597,High
City of Santa Monica - Civic Parking Garage,333 Civic Center Dr,Santa Monica,CA,90401,0.0,12.0,2.0,Non-Networked,CHADEMO J1772,public,MUNI_GOV,14.0,False,True,True,90401,,Los Angeles,0.3,Low
Super 8 - Ukiah,693 S Orchard Ave,Ukiah,CA,95482,0.0,1.0,0.0,Non-Networked,J1772,public,HOTEL,1.0,False,True,False,95482,,Sacramento,0.3869,Medium
Antioch Nissan,1831 Auto Center Dr,Antioch,CA,94509,0.0,1.0,1.0,Non-Networked,CHADEMO J1772 J1772COMBO,public,CAR_DEALER,2.0,False,True,True,94509,,San Francisco,0.4597,High
Nissan of Bakersfield,2800 Pacheco Rd,Bakersfield,CA,93313,0.0,3.0,1.0,Non-Networked,CHADEMO J1772 J1772COMBO,public,CAR_DEALER,4.0,False,True,True,93313,,Los Angeles,0.3,Low
Buena Park Nissan,6501 Auto Center Dr,Buena Park,CA,90621,0.0,3.0,1.0,Non-Networked,CHADEMO J1772 J1772COMBO,public,CAR_DEALER,4.0,False,True,True,90621,,Los Angeles,0.3,Low
Carson Nissan,1505 E 223rd St,Carson,CA,90745,0.0,2.0,1.0,Non-Networked,CHADEMO J1772 J1772COMBO,public,CAR_DEALER,3.0,False,True,True,90745,,Los Angeles,0.3,Low
Palm Springs Nissan,68177 Kyle Rd,Cathedral City,CA,92234,0.0,1.0,1.0,Non-Networked,CHADEMO J1772,public,CAR_DEALER,2.0,False,True,True,92234,92234,Riverside,0.3869,Medium
Cerritos Nissan,18707 Studebaker Rd,Cerritos,CA,90703,0.0,1.0,1.0,Non-Networked,CHADEMO J1772 J1772COMBO,public,CAR_DEALER,2.0,False,True,True,90703,,Los Angeles,0.3,Low
Chico Nissan,575 Manzanita Ave,Chico,CA,95926,0.0,3.0,1.0,Non-Networked,CHADEMO J1772 J1772COMBO,public,CAR_DEALER,4.0,False,True,True,95926,,Sacramento,0.3869,Medium
Puente Hills Nissan,17320 E Gale Ave,City of Industry,CA,91748,0.0,2.0,1.0,Non-Networked,CHADEMO J1772 J1772COMBO,public,CAR_DEALER,3.0,False,True,True,91748,,Los Angeles,0.3,Low
Lithia Nissan - Clovis,370 W Herndon Ave,Clovis,CA,93612,0.0,1.0,0.0,Non-Networked,J1772,public,CAR_DEALER,1.0,False,True,False,93612,,Los Angeles,0.3,Low
Autocom Nissan - Concord,1290 Concord Ave,Concord,CA,94520,0.0,1.0,0.0,Non-Networked,J1772,public,CAR_DEALER,1.0,False,True,False,94520,,San Francisco,0.4597,High
Larry H Miller Nissan,2575 Wardlow Rd,Corona,CA,92882,0.0,2.0,1.0,Non-Networked,CHADEMO J1772,public,CAR_DEALER,3.0,False,True,True,92882,,Orange,0.3869,Medium
Orange Coast Nissan,2850 Harbor Blvd,Costa Mesa,CA,92626,0.0,2.0,1.0,Non-Networked,CHADEMO J1772 J1772COMBO,public,CAR_DEALER,3.0,False,True,True,92626,92626,Orange,0.3869,Medium
Hanlees Nissan,5009 Chiles Rd,Davis,CA,95618,0.0,1.0,1.0,Non-Networked,CHADEMO J1772,public,CAR_DEALER,2.0,False,True,True,95618,95618,Sacramento,0.3869,Medium
Downey Nissan,7321 Firestone Blvd,Downey,CA,90241,0.0,4.0,2.0,Non-Networked,J1772 J1772COMBO,public,CAR_DEALER,6.0,False,True,True,90241,,Los Angeles,0.3,Low
Nissan of Duarte,1434 Buena Vista St,Duarte,CA,91010,0.0,1.0,0.0,Non-Networked,J1772,public,CAR_DEALER,1.0,False,True,False,91010,91010,Los Angeles,0.3,Low
Mossy Nissan - El Cajon,1170 W Main St,El Cajon,CA,92020,0.0,1.0,0.0,Non-Networked,J1772,public,CAR_DEALER,1.0,False,True,False,92020,92020,San Diego,0.4597,High
Ross Nissan El Monte,3428 N Peck Rd,El Monte,CA,91731,0.0,2.0,1.0,Non-Networked,CHADEMO J1772 J1772COMBO,public,CAR_DEALER,3.0,False,True,True,91731,,Los Angeles,0.3,Low
Nissan of Elk Grove,8590 Laguna Grove Dr,Elk Grove,CA,95757,0.0,4.0,2.0,Non-Networked,CHADEMO J1772,public,CAR_DEALER,6.0,False,True,True,95757,,Sacramento,0.3869,Medium
Mossy Nissan - Escondido,1546 Auto Park Way,Escondido,CA,92029,0.0,1.0,0.0,Non-Networked,J1772,public,CAR_DEALER,1.0,False,True,False,92029,92029,San Diego,0.4597,High
McCrea Nissan,601 7th St,Eureka,CA,95501,0.0,1.0,0.0,Non-Networked,J1772,public,CAR_DEALER,1.0,False,True,False,95501,,Sacramento,0.3869,Medium
Future Nissan of Folsom,12610 Auto Mall Cir,Folsom,CA,95630,0.0,3.0,1.0,Non-Networked,CHADEMO J1772 J1772COMBO,public,CAR_DEALER,4.0,False,True,True,95630,95630,Sacramento,0.3869,Medium
Fontana Nissan,16444 S Highland Ave,Fontana,CA,92336,0.0,2.0,1.0,Non-Networked,CHADEMO J1772 J1772COMBO,public,CAR_DEALER,3.0,False,True,True,92336,,Orange,0.3869,Medium
Premier Nissan of Fremont,5701 Cushing Pkwy,Fremont,CA,94538,0.0,2.0,1.0,Non-Networked,CHADEMO J1772,public,CAR_DEALER,3.0,False,True,True,94538,,San Francisco,0.4597,High
Lithia Nissan - Fresno,5580 N Blackstone Ave,Fresno,CA,93710,0.0,1.0,0.0,Non-Networked,J1772,public,CAR_DEALER,1.0,False,True,False,93710,,Los Angeles,0.3,Low
Garden Grove Nissan,9222 Trask Ave,Garden Grove,CA,92844,0.0,2.0,1.0,Non-Networked,CHADEMO J1772 J1772COMBO,public,CAR_DEALER,3.0,False,True,True,92844,,Orange,0.3869,Medium
Gardena Nissan,1670 W Redondo Beach Blvd,Gardena,CA,90247,0.0,1.0,0.0,Non-Networked,J1772,public,CAR_DEALER,1.0,False,True,False,90247,,Los Angeles,0.3,Low
