Station Name,Street Address,City,State,ZIP,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,EV Connector Types,Access Code,Facility Type,Total_Chargers,Has_Level1,Has_Level2,Has_DC_Fast,ZIP_int,zip_code_int,county_name,electricity_rate_per_kwh,rate_tier
Courtyard Anaheim Buena Park,7621 Beach Blvd,Buena Park,CA,90620,0.0,0.0,2.0,eVgo Network,CHADEMO J1772COMBO,public,,2.0,False,False,True,90620,,Los Angeles,0.3,Low
Caltrans District 11 Headquarters,"4050 Taylor St, Stop 250",San Diego,CA,92110,0.0,0.0,6.0,eVgo Network,CHADEMO J1772COMBO,public,,6.0,False,False,True,92110,,Orange,0.3869,Medium
Prunedale Shopping Center,8065 San Miguel Canyon Rd,Salinas,CA,93907,0.0,0.0,6.0,eVgo Network,CHADEMO J1772COMBO,public,,6.0,False,False,True,93907,,Los Angeles,0.3,Low
Claremont Star,415 W Foothill Blvd,Claremont,CA,91711,0.0,0.0,4.0,eVgo Network,CHADEMO J1772COMBO,public,,4.0,False,False,True,91711,,Los Angeles,0.3,Low
Mountain Vista Plaza,1425 Bradbury Ave,Duarte,CA,91010,0.0,0.0,8.0,eVgo Network,CHADEMO J1772COMBO,public,,8.0,False,False,True,91010,91010,Los Angeles,0.3,Low
Valencia Crossroads,24290 Valencia Blvd,Valencia,CA,91355,0.0,0.0,6.0,eVgo Network,CHADEMO J1772COMBO,public,,6.0,False,False,True,91355,91355,Los Angeles,0.3,Low
Lucky,291 McCray St,Hollister,CA,95023,0.0,0.0,2.0,eVgo Network,CHADEMO J1772COMBO,public,,2.0,False,False,True,95023,,Sacramento,0.3869,Medium
Lucky San Leandro,1300 Fairmont Dr,San Leandro,CA,94578,0.0,0.0,4.0,eVgo Network,CHADEMO J1772COMBO,public,,4.0,False,False,True,94578,,San Francisco,0.4597,High
Lazy Acres,422 W Washington St,San Diego,CA,92103,0.0,2.0,1.0,eVgo Network,CHADEMO J1772 J1772COMBO,public,,3.0,False,True,True,92103,,Orange,0.3869,Medium
Lucky,2000 California Ave,Seaside,CA,93955,0.0,0.0,2.0,eVgo Network,CHADEMO J1772COMBO,public,,2.0,False,False,True,93955,,Los Angeles,0.3,Low
Newport Beach Civic Center,100 Civic Center Dr,Newport Beach,CA,92660,0.0,0.0,2.0,eVgo Network,CHADEMO J1772COMBO,public,,2.0,False,False,True,92660,92660,Orange,0.3869,Medium
Lucky,565 W Capitol Expy,San Jose,CA,95136,0.0,0.0,2.0,eVgo Network,CHADEMO J1772COMBO,public,,2.0,False,False,True,95136,,Sacramento,0.3869,Medium
Union City Smith Street Parking,3960 Smith St,Union City,CA,94587,0.0,1.0,2.0,eVgo Network,CHADEMO J1772 J1772COMBO,public,,3.0,False,True,True,94587,,San Francisco,0.4597,High
Rialto Marketplace,1310 S Riverside Ave,Rialto,CA,92376,0.0,0.0,2.0,eVgo Network,CHADEMO J1772COMBO,public,,2.0,False,False,True,92376,,Orange,0.3869,Medium
Newport Coast Community Center,6401 San Joaquin Hills Rd,Newport Coast,CA,92657,0.0,0.0,1.0,eVgo Network,CHADEMO J1772COMBO,public,,1.0,False,False,True,92657,92657,Orange,0.3869,Medium
Bristol Farms,9039 Beverly Blvd,Los Angeles,CA,90048,0.0,2.0,1.0,eVgo Network,CHADEMO J1772 J1772COMBO,public,,3.0,False,True,True,90048,90048,Los Angeles,0.3,Low
Redondo Beach Plaza,4001 Inglewood Ave,Redondo Beach,CA,90278,0.0,0.0,4.0,eVgo Network,CHADEMO J1772COMBO,public,,4.0,False,False,True,90278,,Los Angeles,0.3,Low
"Shop N' Save - Williams, CA",421 7th St,Williams,CA,95987,0.0,2.0,2.0,eVgo Network,CHADEMO J1772 J1772COMBO,public,,4.0,False,True,True,95987,,Sacramento,0.3869,Medium
Gardena Plaza,1420 W Redondo Beach Blvd,Gardena,CA,90247,0.0,0.0,4.0,eVgo Network,CHADEMO J1772COMBO,public,,4.0,False,False,True,90247,,Los Angeles,0.3,Low
Lot 29,1636 5th St.,Santa Monica,CA,90401,0.0,0.0,8.0,eVgo Network,CHADEMO J1772COMBO,public,,8.0,False,False,True,90401,,Los Angeles,0.3,Low
Victoria Gardens,12505 N Mainstreet,Rancho Cucamonga,CA,91739,0.0,0.0,1.0,eVgo Network,CHADEMO J1772COMBO,public,,1.0,False,False,True,91739,,Los Angeles,0.3,Low
The World's Tallest Thermometer,72157 Baker Blvd,Baker,CA,92309,0.0,0.0,6.0,eVgo Network,CHADEMO J1772COMBO,public,,6.0,False,False,True,92309,,Orange,0.3869,Medium
Whole Foods Berkeley - Telegraph,3000 Telegraph Ave,Berkeley,CA,94705,0.0,0.0,4.0,eVgo Network,CHADEMO J1772COMBO,public,,4.0,False,False,True,94705,,San Francisco,0.4597,High
Garage 680 - Broxton Westwood,1036 Broxton Ave,Los Angeles,CA,90024,0.0,0.0,2.0,eVgo Network,CHADEMO J1772COMBO,public,,2.0,False,False,True,90024,90024,Los Angeles,0.3,Low
Aiso Street Parking Garage,101 Judge John Aiso St,Los Angeles,CA,90012,0.0,0.0,1.0,eVgo Network,CHADEMO J1772COMBO,public,,1.0,False,False,True,90012,90012,Los Angeles,0.3,Low
LADWP LA Kretz Innovation Campus,525 S Hewitt St,Los Angeles,CA,90013,0.0,0.0,2.0,eVgo Network,CHADEMO J1772COMBO,public,,2.0,False,False,True,90013,90013,Los Angeles,0.3,Low
Marina Square Shopping Center,1201 Marina Blvd,San Leandro,CA,94577,0.0,0.0,4.0,eVgo Network,CHADEMO J1772COMBO,public,,4.0,False,False,True,94577,,San Francisco,0.4597,High
SFBU STATION 1,161 Mission  Falls Lane,Fremont,CA,94539,0.0,2.0,0.0,ChargePoint Network,J1772,public,,2.0,False,True,False,94539,,San Francisco,0.4597,High
SFBU STATION 2,161 MISSION FALLS LANE,Fremont,CA,94539,0.0,2.0,0.0,ChargePoint Network,J1772,public,,2.0,False,True,False,94539,,San Francisco,0.4597,High
SFBU STATION 3,161 Mission Falls Lane,Fremont,CA,94539,0.0,2.0,0.0,ChargePoint Network,J1772,public,,2.0,False,True,False,94539,,San Francisco,0.4597,High
RSCCD PARKING LOT 11 ST 1,1530 W 17th St,Santa Ana,CA,92706,0.0,1.0,0.0,ChargePoint Network,J1772,public,,1.0,False,True,False,92706,,Orange,0.3869,Medium
RSCCD PARKING LOT 11 ST 2,1530 W 17th St,Santa Ana,CA,92706,0.0,2.0,0.0,ChargePoint Network,J1772,public,,2.0,False,True,False,92706,,Orange,0.3869,Medium
RSCCD PARKING LOT 11 ST 3,1530 W 17th St,Santa Ana,CA,92706,0.0,2.0,0.0,ChargePoint Network,J1772,public,,2.0,False,True,False,92706,,Orange,0.3869,Medium
UCSD Athena DCFC 6,9423 Health Sciences Dr,San Diego,CA,92037,0.0,0.0,2.0,ChargePoint Network,CHADEMO J1772COMBO,public,COLLEGE_CAMPUS,2.0,False,False,True,92037,92037,San Diego,0.4597,High
UCSD Nuevo West 1-4 through 1-8,9205 Athena Circle,San Diego,CA,92037,0.0,5.0,0.0,ChargePoint Network,J1772,public,COLLEGE_CAMPUS,5.0,False,True,False,92037,92037,San Diego,0.4597,High
Carls Jr. - 639 N. Sepulveda Blvd.,639 N. Sepulveda Blvd.,El Segundo,CA,90245,0.0,1.0,0.0,Blink Network,J1772,public,,1.0,False,True,False,90245,,Los Angeles,0.3,Low
ALTABATESSUMMIT PCP GAR B3 S,435 Hawthorne Ave PCP GARAGE,Oakland,CA,94609,0.0,1.0,0.0,ChargePoint Network,J1772,public,,1.0,False,True,False,94609,,San Francisco,0.4597,High
ALTABATESSUMMIT PCP GAR B3-N,435 Hawthorne Ave PCP Garage,Oakland,CA,94609,0.0,1.0,0.0,ChargePoint Network,J1772,public,,1.0,False,True,False,94609,,San Francisco,0.4597,High
ALTABATESSUMMIT PCP GAR B2 S,435 Hawthorne Ave PCP GARAGE,Oakland,CA,94609,0.0,2.0,0.0,ChargePoint Network,J1772,public,,2.0,False,True,False,94609,,San Francisco,0.4597,High
ALTABATESSUMMIT PCP GAR B2 N,435 Hawthorne Ave PCP Garage,Oakland,CA,94609,0.0,2.0,0.0,ChargePoint Network,J1772,public,,2.0,False,True,False,94609,,San Francisco,0.4597,High
UCSD CP-NUEV WST 1-5,9335 Athena Cir,La Jolla,CA,92037,0.0,2.0,0.0,ChargePoint Network,J1772,public,,2.0,False,True,False,92037,92037,San Diego,0.4597,High
UCSD CP-NUEV WST 1-6,9335 Athena Cir,La Jolla,CA,92037,0.0,2.0,0.0,ChargePoint Network,J1772,public,,2.0,False,True,False,92037,92037,San Diego,0.4597,High
UCSD CP-NUEV WST 1-8,9335 Athena Cir,La Jolla,CA,92037,0.0,2.0,0.0,ChargePoint Network,J1772,public,,2.0,False,True,False,92037,92037,San Diego,0.4597,High
UCSD CP-NUEV WST 1-7,9335 Athena Cir,La Jolla,CA,92037,0.0,2.0,0.0,ChargePoint Network,J1772,public,,2.0,False,True,False,92037,92037,San Diego,0.4597,High
THE REDWOODS MARAVILLA 2,306 Scarlett Terrace,Mountain View,CA,94043,0.0,2.0,0.0,ChargePoint Network,J1772,public,,2.0,False,True,False,94043,,San Francisco,0.4597,High
Marina Square Center - Tesla Supercharger,1201 Marina Blvd,San Leandro,CA,94577,0.0,0.0,12.0,Tesla,TESLA,public,SHOPPING_MALL,12.0,False,False,True,94577,,San Francisco,0.4597,High
Countryside Market & Restaurants - Tesla Supercharger,9741  South Enos Lane,Bakersfield,CA,93311,0.0,0.0,12.0,Tesla,TESLA,public,GAS_STATION,12.0,False,False,True,93311,,Los Angeles,0.3,Low
Redhill Shopping Village - Tesla Supercharger,14521 Red Hill Avenue,Tustin,CA,92780,0.0,0.0,12.0,Tesla,TESLA,public,PARKING_LOT,12.0,False,False,True,92780,,Orange,0.3869,Medium
San Joaquin County Housing Authority,2575 Grand Canal Blvd,Stockton,CA,95207,0.0,10.0,2.0,EVCS,CHADEMO J1772 J1772COMBO,public,PARKING_LOT,12.0,False,True,True,95207,,Sacramento,0.3869,Medium
UDR PAC CITY U4 1,132-288 Atlanta Ave,Huntington Beach,CA,92648,0.0,2.0,0.0,ChargePoint Network,J1772,public,,2.0,False,True,False,92648,92648,Orange,0.3869,Medium
The Eisley,1567 Bartlett Lane,Sacramento,CA,95815,0.0,6.0,0.0,Blink Network,J1772,public,,6.0,False,True,False,95815,,Sacramento,0.3869,Medium
GOLDRICH & KEST STATION 1,76 N Highland Ave,Los Angeles,CA,90028,0.0,2.0,0.0,ChargePoint Network,J1772,public,,2.0,False,True,False,90028,90028,Los Angeles,0.3,Low
The Masonic P1 DCFC,1111 California Street,San Francisco,CA,94108,0.0,0.0,1.0,Volta,J1772COMBO,public,,1.0,False,False,True,94108,,San Francisco,0.4597,High
